angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
24.2638042428,121.393997902,1126.70326015,126.967346545,1.0,3.0,1126.70326015,2.0,accepted,0.0,123.032653455
31.7600738319,114.14404739,1190.00216595,184.1712663,1.0,3.0,1190.00216595,2.0,accepted,0.0,65.8287337002
52.7573745436,116.855828712,1342.6233031,441.527754931,1.0,3.0,451.781181299,2.0,accepted,0.0,-191.527754931
14.4696125038,114.14404739,643.308936231,41.5017617119,1.0,3.0,643.308936231,2.0,accepted,0.0,208.498238288
21.1646255888,116.855828712,938.299241356,90.8189973878,1.0,3.0,938.299241356,2.0,accepted,0.0,159.181002612
15.8304213944,157.495460682,1328.55139356,94.1760368205,1.0,3.0,1328.55139356,2.0,accepted,0.0,155.823963179
24.2638042428,114.14404739,996.142932638,112.25460102,1.0,3.0,996.142932638,2.0,accepted,0.0,137.74539898
23.589403466,122.406870737,1121.43188922,122.423643869,1.0,3.0,1121.43188922,2.0,accepted,0.0,127.576356131
24.2638042428,130.962171746,1311.31448615,147.771047339,1.0,3.0,1311.31448615,2.0,accepted,0.0,102.228952661
21.1646255888,122.635387127,1033.4089502,100.024768872,1.0,3.0,1033.4089502,2.0,accepted,0.0,149.975231128
24.2638042428,114.14404739,996.142932638,112.25460102,1.0,3.0,996.142932638,2.0,accepted,0.0,137.74539898
31.7600738319,114.14404739,1190.00216595,184.1712663,1.0,3.0,1190.00216595,2.0,accepted,0.0,65.8287337002
24.2638042428,146.370285453,1638.02664433,184.587995754,1.0,3.0,1638.02664433,2.0,accepted,0.0,65.4120042464
21.1646255888,119.268060021,977.437318312,94.6072141444,1.0,3.0,977.437318312,2.0,accepted,0.0,155.392785856
31.7600738319,141.787702726,1836.19308699,284.179319734,1.0,3.0,609.129616496,2.0,accepted,0.0,-34.1793197344
14.4696125038,121.393997902,727.624773499,46.9412256922,1.0,3.0,727.624773499,2.0,accepted,0.0,203.058774308
31.7600738319,157.495460682,2265.56902399,350.631896291,1.0,3.0,542.677039939,2.0,accepted,0.0,-100.631896291
15.8304213944,121.393997902,789.290191461,55.949828131,1.0,3.0,789.290191461,2.0,accepted,0.0,194.050171869
23.589403466,122.406870737,1121.43188922,122.423643869,1.0,3.0,1121.43188922,2.0,accepted,0.0,127.576356131
29.450283317,123.415064603,1330.82856733,187.855722851,1.0,3.0,1330.82856733,2.0,accepted,0.0,62.144277149
21.1646255888,123.415064603,1046.59090326,101.300664351,1.0,3.0,1046.59090326,2.0,accepted,0.0,148.699335649
31.7600738319,146.370285453,1956.80277474,302.845536955,1.0,3.0,590.463399276,2.0,accepted,0.0,-52.8455369549
29.450283317,119.268060021,1242.89395401,175.443139627,1.0,3.0,1242.89395401,2.0,accepted,0.0,74.5568603727
14.4696125038,157.495460682,1224.75474456,79.0125501161,1.0,3.0,1224.75474456,2.0,accepted,0.0,170.987449884
15.8304213944,141.787702726,1076.76122808,76.3275741939,1.0,3.0,1076.76122808,2.0,accepted,0.0,173.672425806
14.4696125038,122.406870737,739.817567055,47.727818858,1.0,3.0,739.817567055,2.0,accepted,0.0,202.272181142
23.589403466,141.787702726,1504.66023112,164.259630967,1.0,3.0,1504.66023112,2.0,accepted,0.0,85.740369033
14.4696125038,130.962171746,846.846671807,54.6325828858,1.0,3.0,846.846671807,2.0,accepted,0.0,195.367417114
30.8690138594,141.787702726,1806.85926555,270.014053585,1.0,3.0,623.294882646,2.0,accepted,0.0,-20.0140535848
14.4696125038,146.370285453,1057.83732791,68.244214001,1.0,3.0,1057.83732791,2.0,accepted,0.0,181.755785999
27.0206400245,141.787702726,1660.4884613,211.703682632,1.0,3.0,1660.4884613,2.0,accepted,0.0,38.2963173678
15.8304213944,122.406870737,802.516311173,56.887378265,1.0,3.0,802.516311173,2.0,accepted,0.0,193.112621735
23.589403466,157.495460682,1856.51042661,202.670151874,1.0,3.0,1856.51042661,2.0,accepted,0.0,47.3298481257
