0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
24433.9379411,26386.1399143,94.9002322735,28366.7989633,9622.00943498,5137.83707268,9320.85022098,4800.7260115,304.981589254,21115.5332694,2365.66354417,21362.7070225,-1.0,-1.0,-1.0,14759.9,14760.0,815.88,14760.0
2104.22132054,6476.52714237,28148.0587062,26762.2153619,18033.479552,28373.5868671,15938.8329251,22305.7510719,220.332493631,21239.5487591,2010.48536446,22238.5096566,-1.0,33972.0,-1.0,33972.4,33972.0,1001.0,-1.0
20913.6519445,23031.1072745,12027.7246166,1495.76906507,25537.8642138,17348.0729595,20844.5484694,18762.9481286,172.21714447,21457.0601748,2185.93331385,6415.57955522,-1.0,46382.0,-1.0,46382.5,46382.0,1536.3,-1.0
3952.91966987,28506.381218,25489.6116841,19887.9901485,28004.2400387,23573.6310515,24654.1951197,1523.03082244,62.4960236306,19771.5269217,2064.06093104,15468.89844,49301.0,-1.0,-1.0,51577.9,51578.0,1329.0,51578.0
12255.2575441,22295.3380809,11673.005763,5386.30960735,27632.8859673,9384.98006737,17956.4877335,24551.6183149,223.294873937,20788.6626519,2409.30601835,1761.00026579,-1.0,-1.0,-1.0,45216.8,-1.0,2409.3,-1.0
2671.20804618,28687.3765987,3016.1470017,28060.7151992,6870.79412386,15325.6871741,3301.06807506,16909.6217556,304.462266879,17480.038159,2302.21731333,381.367740268,-1.0,10172.0,-1.0,10171.9,10172.0,987.83,-1.0
6992.06112218,10495.6642914,24620.5640371,2787.56016548,17541.3844897,1599.23743851,15555.5861458,5533.70370944,193.221536478,17530.533483,1908.75029105,15874.6931875,-1.0,-1.0,-1.0,19140.7,19141.0,1009.4,19141.0
21930.9892841,17138.1363729,5253.34909422,23231.6403086,24918.5905912,3008.9839528,16765.7046777,3156.63874514,322.718670666,20744.613775,2529.69910082,28728.4963344,-1.0,-1.0,-1.0,27927.7,27928.0,1015.7,27928.0
23755.2253407,27138.6529306,207.307821763,11655.5515046,27925.142524,4034.33400199,11634.5740627,21262.8470862,41.4628359377,18425.5056813,2477.18439135,10975.9155761,-1.0,-1.0,-1.0,31959.5,31960.0,813.26,31959.0
11715.83808,1388.79378421,21071.6549411,537.363235588,2009.58438648,12331.2392887,3433.42481466,9849.68874044,227.529153744,14806.94944,1962.01277009,15024.8156047,-1.0,5443.0,-1.0,5443.06,5443.0,1006.6,-1.0
13738.0568652,17117.2285131,462.689485707,28284.2614319,9817.43997328,16363.9433993,3542.42578925,28243.9883581,52.2035851945,14748.3423038,2535.89869704,15052.2396984,-1.0,13360.0,-1.0,13359.9,13360.0,844.28,-1.0
5930.92057662,28715.9380115,24850.8285634,3048.05170465,4532.43007906,21725.2788137,16376.9160965,24515.6426611,267.882706966,19386.9222757,2578.86311241,18636.5787153,-1.0,20909.0,-1.0,20909.4,20909.0,1014.0,-1.0
3943.67742055,23990.6960315,20294.8163233,21744.1045875,6454.21255039,10124.7901823,8174.14133981,25664.2488003,172.867774869,19429.097121,2194.51836715,24860.3898651,-1.0,14628.0,-1.0,14628.4,14628.0,931.15,-1.0
3584.67291572,12690.2309266,8284.7200737,24265.1789939,12613.3076607,9555.6491943,1307.74736234,26261.5978038,124.563413942,20497.1283958,2296.25371781,13051.1866103,-1.0,13921.0,-1.0,13921.1,13921.0,1008.8,-1.0
981.270758207,17338.7244027,11960.3533863,25789.4109991,25165.4098308,23404.7589861,27808.2684266,15459.36319,300.515858826,14857.9830058,2015.66543749,7274.0000565,-1.0,-1.0,-1.0,46959.5,-1.0,2015.7,-1.0
20215.4671559,18768.5171501,5009.56653088,20056.5356215,19180.6915764,24462.9913457,2097.18947809,3825.93990759,349.562933603,17089.0070864,1840.81104235,11695.9064131,-1.0,21278.0,-1.0,21277.9,21278.0,1008.4,-1.0
28288.3163414,23927.4474786,8168.71371923,9972.95398045,19949.0173775,19913.7917706,55.7322723484,1929.26713513,156.53281489,14417.468976,2379.45791712,10015.5494816,-1.0,20005.0,-1.0,20004.8,20005.0,999.51,-1.0
27044.4793842,16965.4598019,7941.37203327,16677.4098936,17091.0315057,4101.54673073,21768.0403259,18234.8419309,144.463846271,19966.2680044,2159.12014009,27583.1531263,-1.0,-1.0,-1.0,21192.7,21193.0,1000.8,21193.0
21042.27711,21110.8542493,11930.1363852,19979.042829,6293.84015927,19494.3883813,26757.0432971,14578.4136665,285.517233857,15896.5684728,1822.01802035,12546.5597972,-1.0,-1.0,-1.0,21949.2,-1.0,868.61,-1.0
22472.8817148,17549.7804501,4308.16783657,17198.1482359,2439.05672329,28292.5289254,15834.1052326,24817.615692,213.635805787,14816.6522418,2291.13291096,15764.5815864,-1.0,18273.0,-1.0,18273.2,18273.0,789.36,-1.0
16317.9579976,16364.5230383,9636.13832381,11876.3513166,25199.776094,19547.9601114,6078.91517063,3499.39991591,32.3604949766,19410.7634205,1841.24220726,25296.9401316,-1.0,31279.0,-1.0,31278.7,31279.0,990.77,-1.0
19704.1689626,12406.7554423,15241.9194599,1515.14554424,3946.71179002,326.504678642,25890.6082964,25344.6361831,195.82032831,17796.9682013,2260.03790808,3229.02994465,-1.0,-1.0,-1.0,4273.29,4273.3,1015.1,4273.2
16036.4334692,8700.9186231,19176.0674727,10734.1514191,18320.6716021,7543.20107939,22423.6003473,7815.30688027,222.926893806,16969.1898472,2001.58191872,7422.51010898,-1.0,-1.0,-1.0,33558.6,33559.0,1018.2,33559.0
850.343755748,2495.28282397,1625.45193307,23388.3783297,14005.2803528,19846.7133694,6500.71975432,15754.2562518,192.284703405,18739.4658052,2417.86765672,3598.66419921,-1.0,20506.0,-1.0,20506.0,20506.0,855.23,-1.0
17580.6329794,19873.5165539,12795.0747814,2792.02531839,18189.7849149,4910.65491512,3634.98847286,26240.6974964,9.16923604329,17786.2203392,2562.46063894,16562.7509588,-1.0,21825.0,-1.0,21824.8,21825.0,1013.4,-1.0
23610.5232014,21304.1014856,5173.7253035,12401.9208767,21273.0281004,20326.3672765,4618.46285782,27472.900353,139.301980159,20664.1567052,1984.81103207,8120.21139904,-1.0,25891.0,-1.0,25891.5,25892.0,1011.3,-1.0
28692.1045265,14899.8217633,6639.74478372,8450.56638374,13403.1546075,18425.6200185,18711.0078552,9346.24525764,205.661424771,18625.4716047,1850.81149502,6972.32477727,-1.0,-1.0,-1.0,28487.2,-1.0,1850.8,-1.0
24234.4227528,23428.7970073,20105.4413065,13415.493976,13137.9319951,22234.8284611,12470.1886239,20293.4984631,103.190674828,16579.8211926,2599.41191958,18445.0806127,-1.0,25608.0,-1.0,25608.2,25608.0,991.54,-1.0
7928.52975458,191.441051866,17603.2976346,15182.2781071,5089.20482625,26864.6489476,5845.51532628,5864.8872896,173.600322003,16687.7251774,2018.82195228,26176.3827443,-1.0,10935.0,-1.0,10934.8,10935.0,998.32,-1.0
14552.3960705,22533.5380235,5915.27613314,2379.85774681,18835.1589038,14668.2043688,666.377607039,8178.84047466,325.391309123,18894.0846801,2399.57051489,7090.37304218,-1.0,19502.0,-1.0,19501.6,19502.0,1010.7,-1.0
14016.9492607,26125.314262,16337.1208481,19281.2174656,12907.7815753,10427.6216641,76.0322545664,8832.8176127,147.645710074,19690.6517351,2249.19934158,70.2614557616,-1.0,12984.0,-1.0,12983.9,12984.0,1000.7,-1.0
16014.7441561,1531.30966234,13276.3848377,25730.4796382,15684.4107868,26160.0098597,22508.7796908,17657.9381494,106.852709786,15327.5279983,2418.32538423,19591.2746848,-1.0,38193.0,-1.0,38193.2,38193.0,2040.8,-1.0
22818.3143023,11855.9400466,22280.2506716,28592.4446588,27552.1193484,11839.4041171,12969.7013474,18169.9700726,144.061764369,18213.8389269,2177.94669796,17666.3811067,-1.0,-1.0,-1.0,39391.6,39392.0,991.9,39392.0
27397.3961614,4566.39459089,2990.50303861,7519.29181774,4076.72509525,888.494645714,4567.41345677,8344.76277918,16.9759367792,15472.3871378,2032.09375924,28684.0012453,-1.0,-1.0,-1.0,4965.29,4965.3,1006.2,4965.2
19906.8486836,18954.420296,446.905312356,16369.7187595,10915.1240667,22751.9739964,24447.98169,1831.23370376,286.078029401,18665.6586983,2202.08903389,12208.9168957,24955.0,-1.0,-1.0,31525.7,-1.0,2202.1,-1.0
19236.2921566,6673.86126757,3654.66041566,11345.5243957,19935.5646002,12018.1537257,19536.2036042,25691.8719123,20.7626515628,20557.0640789,1884.33772146,2200.38183824,-1.0,-1.0,-1.0,33906.7,-1.0,1884.3,-1.0
